seed,val_size,test_size,val_pos,test_pos,val_acc,test_acc,all_acc
0,1200,1200,371,370,0.810833,0.812500,0.811667
1,1200,1200,371,370,0.817500,0.805833,0.811667
2,1200,1200,371,370,0.820833,0.802500,0.811667
3,1200,1200,371,370,0.805833,0.817500,0.811667
4,1200,1200,371,370,0.809167,0.814167,0.811667
5,1200,1200,371,370,0.808333,0.815000,0.811667
6,1200,1200,371,370,0.817500,0.805833,0.811667
7,1200,1200,371,370,0.813333,0.810000,0.811667
8,1200,1200,371,370,0.816667,0.806667,0.811667
9,1200,1200,371,370,0.811667,0.811667,0.811667
10,1200,1200,371,370,0.831667,0.791667,0.811667
11,1200,1200,371,370,0.827500,0.795833,0.811667
12,1200,1200,371,370,0.804167,0.819167,0.811667
13,1200,1200,371,370,0.807500,0.815833,0.811667
14,1200,1200,371,370,0.819167,0.804167,0.811667
15,1200,1200,371,370,0.823333,0.800000,0.811667
16,1200,1200,371,370,0.800833,0.822500,0.811667
17,1200,1200,371,370,0.817500,0.805833,0.811667
18,1200,1200,371,370,0.812500,0.810833,0.811667
19,1200,1200,371,370,0.797500,0.825833,0.811667
20,1200,1200,371,370,0.800833,0.822500,0.811667
21,1200,1200,371,370,0.808333,0.815000,0.811667
22,1200,1200,371,370,0.806667,0.816667,0.811667
23,1200,1200,371,370,0.788333,0.835000,0.811667
24,1200,1200,371,370,0.824167,0.799167,0.811667
25,1200,1200,371,370,0.815833,0.807500,0.811667
26,1200,1200,371,370,0.819167,0.804167,0.811667
27,1200,1200,371,370,0.801667,0.821667,0.811667
28,1200,1200,371,370,0.822500,0.800833,0.811667
29,1200,1200,371,370,0.806667,0.816667,0.811667
30,1200,1200,371,370,0.826667,0.796667,0.811667
31,1200,1200,371,370,0.825833,0.797500,0.811667
32,1200,1200,371,370,0.820833,0.802500,0.811667
33,1200,1200,371,370,0.814167,0.809167,0.811667
34,1200,1200,371,370,0.805833,0.817500,0.811667
35,1200,1200,371,370,0.805833,0.817500,0.811667
36,1200,1200,371,370,0.815833,0.807500,0.811667
37,1200,1200,371,370,0.818333,0.805000,0.811667
38,1200,1200,371,370,0.799167,0.824167,0.811667
39,1200,1200,371,370,0.805000,0.818333,0.811667
40,1200,1200,371,370,0.824167,0.799167,0.811667
41,1200,1200,371,370,0.806667,0.816667,0.811667
42,1200,1200,371,370,0.814167,0.809167,0.811667
43,1200,1200,371,370,0.810833,0.812500,0.811667
44,1200,1200,371,370,0.815833,0.807500,0.811667
45,1200,1200,371,370,0.812500,0.810833,0.811667
46,1200,1200,371,370,0.812500,0.810833,0.811667
47,1200,1200,371,370,0.818333,0.805000,0.811667
48,1200,1200,371,370,0.816667,0.806667,0.811667
49,1200,1200,371,370,0.810833,0.812500,0.811667
50,1200,1200,371,370,0.811667,0.811667,0.811667
51,1200,1200,371,370,0.812500,0.810833,0.811667
52,1200,1200,371,370,0.815833,0.807500,0.811667
53,1200,1200,371,370,0.802500,0.820833,0.811667
54,1200,1200,371,370,0.811667,0.811667,0.811667
55,1200,1200,371,370,0.815000,0.808333,0.811667
56,1200,1200,371,370,0.815833,0.807500,0.811667
57,1200,1200,371,370,0.817500,0.805833,0.811667
58,1200,1200,371,370,0.795000,0.828333,0.811667
59,1200,1200,371,370,0.825833,0.797500,0.811667
60,1200,1200,371,370,0.812500,0.810833,0.811667
61,1200,1200,371,370,0.808333,0.815000,0.811667
62,1200,1200,371,370,0.832500,0.790833,0.811667
63,1200,1200,371,370,0.810000,0.813333,0.811667
64,1200,1200,371,370,0.805833,0.817500,0.811667
65,1200,1200,371,370,0.800000,0.823333,0.811667
66,1200,1200,371,370,0.795000,0.828333,0.811667
67,1200,1200,371,370,0.832500,0.790833,0.811667
68,1200,1200,371,370,0.800000,0.823333,0.811667
69,1200,1200,371,370,0.815833,0.807500,0.811667
70,1200,1200,371,370,0.824167,0.799167,0.811667
71,1200,1200,371,370,0.811667,0.811667,0.811667
72,1200,1200,371,370,0.821667,0.801667,0.811667
73,1200,1200,371,370,0.809167,0.814167,0.811667
74,1200,1200,371,370,0.821667,0.801667,0.811667
75,1200,1200,371,370,0.820833,0.802500,0.811667
76,1200,1200,371,370,0.824167,0.799167,0.811667
77,1200,1200,371,370,0.817500,0.805833,0.811667
78,1200,1200,371,370,0.809167,0.814167,0.811667
79,1200,1200,371,370,0.801667,0.821667,0.811667
80,1200,1200,371,370,0.811667,0.811667,0.811667
81,1200,1200,371,370,0.829167,0.794167,0.811667
82,1200,1200,371,370,0.787500,0.835833,0.811667
83,1200,1200,371,370,0.820000,0.803333,0.811667
84,1200,1200,371,370,0.800000,0.823333,0.811667
85,1200,1200,371,370,0.823333,0.800000,0.811667
86,1200,1200,371,370,0.802500,0.820833,0.811667
87,1200,1200,371,370,0.798333,0.825000,0.811667
88,1200,1200,371,370,0.805000,0.818333,0.811667
89,1200,1200,371,370,0.803333,0.820000,0.811667
90,1200,1200,371,370,0.809167,0.814167,0.811667
91,1200,1200,371,370,0.816667,0.806667,0.811667
92,1200,1200,371,370,0.819167,0.804167,0.811667
93,1200,1200,371,370,0.811667,0.811667,0.811667
94,1200,1200,371,370,0.800000,0.823333,0.811667
95,1200,1200,371,370,0.808333,0.815000,0.811667
96,1200,1200,371,370,0.812500,0.810833,0.811667
97,1200,1200,371,370,0.810833,0.812500,0.811667
98,1200,1200,371,370,0.806667,0.816667,0.811667
99,1200,1200,371,370,0.811667,0.811667,0.811667
