seed,threshold,dev_size,dev_pos,dev_ACC,dev_Precision,dev_Recall,dev_F1,dev_Harm_Precision,dev_Harm_Recall,dev_Harm_F1,dev_AUC,test_size,test_pos,test_ACC,test_Precision,test_Recall,test_F1,test_Harm_Precision,test_Harm_Recall,test_Harm_F1,test_AUC,mean_F1
0,0.491754,1200,371,0.810000,0.778373,0.772392,0.775225,0.700280,0.673854,0.686813,0.845096,1200,370,0.806667,0.775711,0.760632,0.767217,0.705357,0.640541,0.671388,0.848290,0.771221
1,0.491754,1200,371,0.810000,0.779751,0.766435,0.772352,0.709677,0.652291,0.679775,0.849014,1200,370,0.806667,0.774309,0.766623,0.770205,0.696023,0.662162,0.678670,0.844482,0.771279
2,0.491754,1200,371,0.817500,0.789090,0.774842,0.781160,0.723529,0.663073,0.691983,0.854239,1200,370,0.799167,0.765209,0.758206,0.761479,0.682720,0.651351,0.666667,0.838766,0.771320
3,0.491754,1200,371,0.803333,0.771741,0.757887,0.763980,0.699115,0.638814,0.667606,0.842300,1200,370,0.813333,0.782185,0.775187,0.778478,0.706215,0.675676,0.690608,0.851369,0.771229
4,0.491754,1200,371,0.804167,0.773720,0.755512,0.763224,0.706061,0.628032,0.664765,0.850484,1200,370,0.812500,0.780567,0.777581,0.779035,0.699725,0.686486,0.693042,0.843795,0.771129
5,0.491754,1200,371,0.807500,0.776582,0.763881,0.769544,0.704678,0.649596,0.676017,0.851646,1200,370,0.809167,0.777400,0.769179,0.772997,0.700855,0.664865,0.682386,0.841880,0.771271
6,0.491754,1200,371,0.811667,0.781196,0.770620,0.775436,0.708934,0.663073,0.685237,0.862384,1200,370,0.805000,0.772739,0.762423,0.767115,0.696532,0.651351,0.673184,0.831309,0.771276
7,0.491754,1200,371,0.814167,0.786543,0.766472,0.774937,0.725610,0.641509,0.680973,0.851152,1200,370,0.802500,0.768641,0.766607,0.767604,0.682192,0.672973,0.677551,0.842599,0.771271
8,0.491754,1200,371,0.815000,0.788358,0.765586,0.774993,0.730650,0.636119,0.680115,0.840686,1200,370,0.801667,0.767502,0.767502,0.767502,0.678378,0.678378,0.678378,0.852631,0.771248
9,0.491754,1200,371,0.808333,0.777142,0.766718,0.771462,0.703170,0.657682,0.679666,0.836846,1200,370,0.808333,0.776800,0.766330,0.771096,0.702312,0.656757,0.678771,0.856757,0.771279
